Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO,
," 14,941,968 "," 14,596,063 "," 15,970,242 "," 15,785,974 "," 15,750,528 "," 15,593,824 "," 15,694,209 "," 16,118,271 "," 15,975,356 ", -   , -   , -   ," 140,426,435 ",
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,,
Norte," 1,422,542 "," 1,294,578 "," 1,459,727 "," 1,386,998 "," 1,458,599 "," 1,404,862 "," 1,449,056 "," 1,465,097 "," 1,476,540 ", -   , -   , -   ," 12,817,999 ",
Nordeste," 2,210,392 "," 2,140,253 "," 2,308,471 "," 2,364,392 "," 2,294,264 "," 2,250,218 "," 2,233,114 "," 2,304,358 "," 2,361,536 ", -   , -   , -   ," 20,466,998 ",
Sudeste," 7,617,021 "," 7,546,517 "," 8,129,322 "," 8,038,928 "," 8,030,055 "," 8,050,282 "," 8,115,667 "," 8,319,871 "," 8,174,917 ", -   , -   , -   ," 72,022,580 ",
Sul," 2,835,735 "," 2,772,219 "," 3,190,782 "," 3,123,009 "," 3,052,545 "," 2,989,376 "," 3,006,072 "," 3,086,789 "," 3,041,238 ", -   , -   , -   ," 27,097,764 ",
Centro-Oeste," 856,277 "," 842,497 "," 881,941 "," 872,647 "," 915,065 "," 899,087 "," 890,300 "," 942,155 "," 921,125 ", -   , -   , -   ," 8,021,093 ",
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,,
Sistemas Isolados," 11,697 "," 10,320 "," 11,637 "," 11,169 "," 11,477 "," 9,938 "," 10,795 "," 11,081 "," 10,612 ", -   , -   , -   ," 98,727 ",
Norte," 1,800,224 "," 1,666,105 "," 1,905,095 "," 1,832,571 "," 1,907,132 "," 1,818,900 "," 1,884,839 "," 1,902,465 "," 1,897,534 ", -   , -   , -   ," 16,614,866 ",
Nordeste," 1,776,650 "," 1,715,770 "," 1,805,126 "," 1,862,348 "," 1,786,802 "," 1,779,762 "," 1,739,105 "," 1,805,550 "," 1,880,531 ", -   , -   , -   ," 16,151,644 ",
Sudeste/C.Oeste," 8,517,662 "," 8,431,649 "," 9,057,603 "," 8,956,877 "," 8,992,571 "," 8,995,849 "," 9,053,398 "," 9,312,385 "," 9,145,441 ", -   , -   , -   ," 80,463,434 ",
Sul," 2,835,735 "," 2,772,219 "," 3,190,782 "," 3,123,009 "," 3,052,545 "," 2,989,376 "," 3,006,072 "," 3,086,789 "," 3,041,238 ", -   , -   , -   ," 27,097,764 ",
*Dados preliminares (última atualização: 23/10/2023),,,,,,,,,,,,,,
,2022,,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO,
," 14,777,434 "," 14,432,879 "," 15,484,490 "," 15,434,172 "," 15,500,310 "," 15,368,105 "," 15,797,975 "," 16,011,655 "," 15,676,464 "," 15,712,115 "," 15,393,376 "," 14,917,889 "," 184,506,863 ",
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,,
Norte," 1,330,047 "," 1,157,059 "," 1,245,408 "," 1,220,482 "," 1,301,786 "," 1,338,989 "," 1,434,486 "," 1,470,434 "," 1,382,033 "," 1,406,310 "," 1,397,504 "," 1,418,518 "," 16,103,055 ",
Nordeste," 1,905,277 "," 1,847,027 "," 1,966,527 "," 1,962,955 "," 1,931,990 "," 1,959,080 "," 2,110,243 "," 2,168,969 "," 2,111,745 "," 2,203,981 "," 2,129,110 "," 2,133,712 "," 24,430,616 ",
Sudeste," 7,806,272 "," 7,655,392 "," 8,275,731 "," 8,334,289 "," 8,345,363 "," 8,124,391 "," 8,270,863 "," 8,335,419 "," 8,241,268 "," 8,239,363 "," 8,038,235 "," 7,684,234 "," 97,350,820 ",
Sul," 2,899,932 "," 2,960,134 "," 3,135,339 "," 3,036,337 "," 3,042,105 "," 3,040,624 "," 3,079,402 "," 3,107,917 "," 3,025,423 "," 2,969,397 "," 2,954,303 "," 2,816,971 "," 36,067,885 ",
Centro-Oeste," 835,906 "," 813,267 "," 861,485 "," 880,109 "," 879,066 "," 905,022 "," 902,980 "," 928,916 "," 915,996 "," 893,064 "," 874,224 "," 864,454 "," 10,554,488 ",
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,,
Sistemas Isolados," 11,804 "," 11,821 "," 11,842 "," 11,754 "," 11,514 "," 10,428 "," 12,093 "," 13,002 "," 13,057 "," 12,176 "," 13,024 "," 12,641 "," 145,155 ",
Norte," 1,416,791 "," 1,234,004 "," 1,318,658 "," 1,303,725 "," 1,405,586 "," 1,472,064 "," 1,611,343 "," 1,686,140 "," 1,628,227 "," 1,698,867 "," 1,716,312 "," 1,774,420 "," 18,266,137 ",
Nordeste," 1,766,914 "," 1,719,153 "," 1,838,545 "," 1,826,956 "," 1,775,072 "," 1,772,619 "," 1,876,282 "," 1,893,180 "," 1,806,833 "," 1,852,775 "," 1,753,537 "," 1,719,736 "," 21,601,600 ",
Sudeste/C.Oeste," 8,681,993 "," 8,507,769 "," 9,180,106 "," 9,255,400 "," 9,266,033 "," 9,072,372 "," 9,218,854 "," 9,311,416 "," 9,202,924 "," 9,178,899 "," 8,956,200 "," 8,594,121 "," 108,426,087 ",
Sul," 2,899,932 "," 2,960,134 "," 3,135,339 "," 3,036,337 "," 3,042,105 "," 3,040,624 "," 3,079,402 "," 3,107,917 "," 3,025,423 "," 2,969,397 "," 2,954,303 "," 2,816,971 "," 36,067,885 ",
,,,,,,,,,,,,,,
,2021,,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO,
," 14,847,450 "," 14,391,461 "," 15,593,368 "," 15,213,652 "," 15,261,850 "," 14,999,102 "," 15,305,224 "," 15,447,338 "," 15,169,573 "," 15,543,851 "," 15,358,428 "," 15,074,144 "," 182,205,443 ",
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,,
Norte," 1,420,062 "," 1,351,394 "," 1,460,890 "," 1,465,723 "," 1,517,702 "," 1,470,003 "," 1,507,508 "," 1,506,447 "," 1,466,344 "," 1,501,256 "," 1,515,797 "," 1,532,973 "," 17,716,100 ",
Nordeste," 1,597,114 "," 1,546,676 "," 1,646,510 "," 1,603,957 "," 1,695,542 "," 1,554,999 "," 1,638,090 "," 1,643,266 "," 1,560,590 "," 1,638,426 "," 1,621,671 "," 1,690,284 "," 19,437,125 ",
Sudeste," 7,342,032 "," 7,060,448 "," 7,735,115 "," 7,476,457 "," 7,360,409 "," 7,313,071 "," 7,397,076 "," 7,502,569 "," 7,468,261 "," 7,571,531 "," 7,474,101 "," 7,328,130 "," 89,029,200 ",
Sul," 3,386,934 "," 3,354,793 "," 3,576,669 "," 3,541,335 "," 3,495,286 "," 3,459,885 "," 3,549,747 "," 3,576,477 "," 3,496,867 "," 3,576,053 "," 3,538,513 "," 3,347,164 "," 41,899,722 ",
Centro-Oeste," 1,101,307 "," 1,078,150 "," 1,174,184 "," 1,126,179 "," 1,192,912 "," 1,201,143 "," 1,212,804 "," 1,218,579 "," 1,177,512 "," 1,256,585 "," 1,208,346 "," 1,175,594 "," 14,123,296 ",
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,,
Sistemas Isolados," 1,683,135 "," 1,587,763 "," 1,719,522 "," 1,705,027 "," 1,753,445 "," 1,697,039 "," 1,733,699 "," 1,736,035 "," 1,696,845 "," 1,733,219 "," 1,731,913 "," 1,745,878 "," 20,523,521 ",
Norte," 288,550 "," 274,955 "," 300,044 "," 305,661 "," 314,360 "," 307,212 "," 324,022 "," 324,377 "," 315,639 "," 328,361 "," 327,049 "," 326,411 "," 3,736,640 ",
Nordeste," 1,135,395 "," 1,117,578 "," 1,189,901 "," 1,147,831 "," 1,230,596 "," 1,104,832 "," 1,176,167 "," 1,174,630 "," 1,100,530 "," 1,162,713 "," 1,165,984 "," 1,238,939 "," 13,945,095 ",
Sudeste/C.Oeste," 8,353,435 "," 8,056,372 "," 8,807,232 "," 8,513,798 "," 8,468,163 "," 8,430,134 "," 8,521,589 "," 8,635,820 "," 8,559,692 "," 8,743,505 "," 8,594,969 "," 8,415,753 "," 102,100,464 ",
Sul," 3,386,934 "," 3,354,793 "," 3,576,669 "," 3,541,335 "," 3,495,286 "," 3,459,885 "," 3,549,747 "," 3,576,477 "," 3,496,867 "," 3,576,053 "," 3,538,513 "," 3,347,164 "," 41,899,722 ",
,,,,,,,,,,,,,,
,2020,,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO,
," 13,530,236 "," 13,897,740 "," 14,127,338 "," 12,167,508 "," 12,315,381 "," 12,550,701 "," 13,911,936 "," 14,539,356 "," 14,654,017 "," 15,296,472 "," 14,792,681 "," 14,668,954 "," 166,452,319 ",
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,,
Norte," 1,367,162 "," 1,292,651 "," 1,281,543 "," 1,200,502 "," 1,251,937 "," 1,255,953 "," 1,330,938 "," 1,409,599 "," 1,388,327 "," 1,454,619 "," 1,373,970 "," 1,412,629 "," 16,019,829 ",
Nordeste," 1,541,990 "," 1,504,045 "," 1,458,996 "," 1,185,337 "," 1,277,156 "," 1,370,807 "," 1,516,707 "," 1,494,615 "," 1,539,377 "," 1,613,229 "," 1,473,928 "," 1,521,821 "," 17,498,007 ",
Sudeste," 6,459,596 "," 6,756,333 "," 6,961,120 "," 5,919,077 "," 5,841,928 "," 5,947,613 "," 6,673,638 "," 7,114,034 "," 7,120,522 "," 7,459,927 "," 7,280,904 "," 7,169,326 "," 80,704,018 ",
Sul," 3,112,596 "," 3,282,804 "," 3,276,944 "," 2,837,084 "," 2,855,534 "," 2,881,422 "," 3,204,463 "," 3,320,020 "," 3,405,185 "," 3,556,549 "," 3,520,631 "," 3,413,905 "," 38,667,138 ",
Centro-Oeste," 1,048,892 "," 1,061,907 "," 1,148,734 "," 1,025,508 "," 1,088,826 "," 1,094,906 "," 1,186,191 "," 1,201,089 "," 1,200,606 "," 1,212,149 "," 1,143,248 "," 1,151,273 "," 13,563,328 ",
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,,
Sistemas Isolados," 1,647,928 "," 1,563,863 "," 1,548,218 "," 1,397,511 "," 1,486,272 "," 1,502,234 "," 1,586,687 "," 1,666,067 "," 1,654,250 "," 1,745,254 "," 1,625,491 "," 1,642,701 "," 19,066,475 ",
Norte," 244,784 "," 244,635 "," 261,568 "," 235,636 "," 239,015 "," 255,774 "," 286,634 "," 291,680 "," 286,531 "," 277,314 "," 264,915 "," 278,917 "," 3,167,403 ",
Nordeste," 1,094,236 "," 1,065,165 "," 1,013,793 "," 824,250 "," 883,513 "," 954,831 "," 1,058,393 "," 1,028,125 "," 1,072,249 "," 1,133,740 "," 1,036,607 "," 1,097,476 "," 12,262,378 ",
Sudeste/C.Oeste," 7,430,693 "," 7,741,273 "," 8,026,815 "," 6,873,027 "," 6,851,046 "," 6,956,440 "," 7,775,760 "," 8,233,464 "," 8,235,801 "," 8,583,615 "," 8,345,036 "," 8,235,956 "," 93,288,926 ",
Sul," 3,112,596 "," 3,282,804 "," 3,276,944 "," 2,837,084 "," 2,855,534 "," 2,881,422 "," 3,204,463 "," 3,320,020 "," 3,405,185 "," 3,556,549 "," 3,520,631 "," 3,413,905 "," 38,667,138 ",
,,,,,,,,,,,,,,
,2019,,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO,
," 13,891,253 "," 13,540,206 "," 14,045,374 "," 13,899,705 "," 14,198,612 "," 13,827,964 "," 14,096,022 "," 14,185,888 "," 13,865,234 "," 14,399,000 "," 14,157,006 "," 13,594,919 "," 167,701,182 ",
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,,
Norte," 1,171,647 "," 1,049,982 "," 1,161,902 "," 1,088,724 "," 1,180,284 "," 1,221,411 "," 1,283,102 "," 1,326,119 "," 1,284,826 "," 1,352,632 "," 1,321,934 "," 1,381,795 "," 14,824,358 ",
Nordeste," 1,571,850 "," 1,488,322 "," 1,543,454 "," 1,525,212 "," 1,560,457 "," 1,466,378 "," 1,518,578 "," 1,479,325 "," 1,398,276 "," 1,516,334 "," 1,478,825 "," 1,527,234 "," 18,074,245 ",
Sudeste," 6,876,130 "," 6,727,114 "," 6,970,855 "," 6,930,536 "," 7,005,720 "," 6,831,020 "," 6,905,850 "," 6,971,537 "," 6,862,867 "," 7,058,160 "," 6,941,467 "," 6,598,871 "," 82,680,128 ",
Sul," 3,189,367 "," 3,210,593 "," 3,284,984 "," 3,301,736 "," 3,341,045 "," 3,209,910 "," 3,234,956 "," 3,238,891 "," 3,170,025 "," 3,327,608 "," 3,324,797 "," 3,041,973 "," 38,875,887 ",
Centro-Oeste," 1,082,259 "," 1,064,195 "," 1,084,179 "," 1,053,497 "," 1,111,105 "," 1,099,245 "," 1,153,536 "," 1,170,016 "," 1,149,239 "," 1,144,266 "," 1,089,983 "," 1,045,045 "," 13,246,564 ",
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,,
Sistemas Isolados," 1,425,166 "," 1,303,019 "," 1,426,549 "," 1,358,941 "," 1,465,480 "," 1,471,012 "," 1,555,465 "," 1,593,197 "," 1,555,351 "," 1,639,863 "," 1,598,580 "," 1,652,745 "," 18,045,369 ",
Norte," 246,733 "," 232,872 "," 246,750 "," 241,486 "," 250,791 "," 256,531 "," 263,675 "," 265,515 "," 252,073 "," 261,898 "," 257,598 "," 258,201 "," 3,034,122 ",
Nordeste," 1,145,193 "," 1,078,012 "," 1,105,697 "," 1,089,584 "," 1,101,463 "," 1,033,817 "," 1,052,986 "," 1,022,740 "," 946,314 "," 1,040,219 "," 1,021,585 "," 1,073,058 "," 12,710,668 ",
Sudeste/C.Oeste," 7,884,793 "," 7,715,710 "," 7,981,394 "," 7,907,958 "," 8,039,833 "," 7,856,694 "," 7,988,940 "," 8,065,545 "," 7,941,470 "," 8,129,412 "," 7,954,446 "," 7,568,941 "," 95,035,135 ",
Sul," 3,189,367 "," 3,210,593 "," 3,284,984 "," 3,301,736 "," 3,341,045 "," 3,209,910 "," 3,234,956 "," 3,238,891 "," 3,170,025 "," 3,327,608 "," 3,324,797 "," 3,041,973 "," 38,875,887 ",
,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO,
," 13,881,895 "," 13,525,095 "," 14,698,971 "," 14,351,534 "," 13,811,374 "," 13,745,642 "," 14,487,341 "," 14,675,005 "," 14,124,083 "," 14,626,597 "," 14,374,971 "," 13,763,118 "," 170,065,626 ",
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,,
Norte," 1,387,953 "," 1,272,118 "," 1,412,726 "," 1,201,375 "," 1,140,222 "," 1,093,149 "," 1,175,186 "," 1,147,372 "," 1,141,265 "," 1,166,230 "," 1,133,785 "," 1,157,441 "," 14,428,821 ",
Nordeste," 1,489,193 "," 1,358,089 "," 1,478,488 "," 1,534,423 "," 1,570,171 "," 1,525,352 "," 1,642,937 "," 1,653,272 "," 1,524,429 "," 1,597,176 "," 1,594,819 "," 1,568,215 "," 18,536,565 ",
Sudeste," 6,604,939 "," 6,532,410 "," 7,059,975 "," 6,906,168 "," 6,627,395 "," 6,672,747 "," 6,914,781 "," 7,001,535 "," 6,820,517 "," 7,054,656 "," 6,991,448 "," 6,590,123 "," 81,776,695 ",
Sul," 3,392,687 "," 3,396,834 "," 3,665,828 "," 3,629,091 "," 3,422,308 "," 3,399,320 "," 3,627,240 "," 3,695,028 "," 3,502,738 "," 3,631,483 "," 3,518,155 "," 3,320,801 "," 42,201,513 ",
Centro-Oeste," 1,007,123 "," 965,645 "," 1,081,954 "," 1,080,477 "," 1,051,277 "," 1,055,073 "," 1,127,198 "," 1,177,798 "," 1,135,134 "," 1,177,052 "," 1,136,764 "," 1,126,538 "," 13,122,032 ",
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,,
Sistemas Isolados," 1,633,560 "," 1,508,720 "," 1,654,173 "," 1,449,608 "," 1,381,351 "," 1,321,179 "," 1,418,212 "," 1,404,614 "," 1,367,553 "," 1,413,545 "," 1,385,131 "," 1,388,142 "," 17,325,788 ",
Norte," 248,103 "," 231,449 "," 254,078 "," 245,226 "," 242,548 "," 250,867 "," 267,749 "," 264,815 "," 258,430 "," 258,629 "," 258,242 "," 249,451 "," 3,029,587 ",
Nordeste," 1,065,173 "," 951,642 "," 1,049,029 "," 1,108,329 "," 1,151,176 "," 1,110,730 "," 1,198,802 "," 1,201,417 "," 1,103,414 "," 1,160,288 "," 1,158,360 "," 1,154,485 "," 13,412,846 ",
Sudeste/C.Oeste," 7,542,372 "," 7,436,450 "," 8,075,863 "," 7,919,279 "," 7,613,991 "," 7,663,546 "," 7,975,339 "," 8,109,131 "," 7,891,948 "," 8,162,652 "," 8,055,084 "," 7,650,238 "," 94,095,893 ",
Sul," 3,392,687 "," 3,396,834 "," 3,665,828 "," 3,629,091 "," 3,422,308 "," 3,399,320 "," 3,627,240 "," 3,695,028 "," 3,502,738 "," 3,631,483 "," 3,518,155 "," 3,320,801 "," 42,201,513 ",
,,,,,,,,,,,,,,
,2017,,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO,
," 13,155,124 "," 13,456,486 "," 13,894,142 "," 14,143,294 "," 13,625,041 "," 13,985,232 "," 14,128,125 "," 14,301,869 "," 14,274,854 "," 14,223,004 "," 14,370,530 "," 14,153,384 "," 167,711,087 ",
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,,
Norte," 1,355,149 "," 1,217,552 "," 1,397,470 "," 1,305,699 "," 1,372,086 "," 1,331,096 "," 1,400,363 "," 1,420,010 "," 1,342,554 "," 1,402,543 "," 1,358,973 "," 1,382,485 "," 16,285,980 ",
Nordeste," 1,586,186 "," 1,474,201 "," 1,626,287 "," 1,512,272 "," 1,540,606 "," 1,575,051 "," 1,665,877 "," 1,661,934 "," 1,558,950 "," 1,677,679 "," 1,609,047 "," 1,584,386 "," 19,072,475 ",
Sudeste," 6,055,420 "," 6,418,195 "," 6,344,176 "," 6,764,060 "," 6,301,798 "," 6,581,876 "," 6,564,499 "," 6,540,745 "," 6,761,315 "," 6,539,728 "," 6,802,771 "," 6,697,597 "," 78,372,179 ",
Sul," 3,177,810 "," 3,381,464 "," 3,513,908 "," 3,537,269 "," 3,373,929 "," 3,469,032 "," 3,444,455 "," 3,581,951 "," 3,541,484 "," 3,537,470 "," 3,554,287 "," 3,467,544 "," 41,580,602 ",
Centro-Oeste," 980,560 "," 965,075 "," 1,012,302 "," 1,023,994 "," 1,036,622 "," 1,028,177 "," 1,052,931 "," 1,097,229 "," 1,070,552 "," 1,065,584 "," 1,045,452 "," 1,021,372 "," 12,399,850 ",
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,,
Sistemas Isolados," 1,587,904 "," 1,451,903 "," 1,659,607 "," 1,525,908 "," 1,607,179 "," 1,559,639 "," 1,624,727 "," 1,657,259 "," 1,576,687 "," 1,636,822 "," 1,589,132 "," 1,608,957 "," 19,085,724 ",
